postcode,Latitude,Longitude,Easting,Northing
SY3 7DQ,52.704027,-2.747463,349591,312080
SY3 7DX,52.703359,-2.750692,349372,312008
SY3 7DZ,52.702952,-2.751085,349345,311963
SY3 7EA,52.703053,-2.750717,349370,311974
SY3 7EB,52.70267,-2.750089,349412,311931
SY3 7ED,52.702014,-2.750092,349411,311858
SY3 7EE,52.70216,-2.74971,349437,311874
SY3 7EF,52.703217,-2.750438,349389,311992
SY3 7EG,52.702718,-2.74969,349439,311936
SY3 7EL,52.703475,-2.749362,349462,312020
SY3 7EP,52.70275,-2.747456,349590,311938
SY3 7EU,52.705243,-2.745663,349714,312214
SY3 7EX,52.705383,-2.746257,349674,312230
SY3 7EY,52.701818,-2.754173,349135,311839
SY3 7EZ,52.700418,-2.755096,349071,311684
SY3 7HA,52.699761,-2.755218,349062,311611
SY3 7HB,52.700328,-2.756575,348971,311675
SY3 7HD,52.699988,-2.756243,348993,311637
SY3 7HE,52.700098,-2.757458,348911,311650
SY3 7HG,52.699281,-2.757178,348929,311559
SY3 7HJ,52.69806,-2.755559,349037,311422
SY3 7HQ,52.698654,-2.756842,348951,311489
SY3 7HR,52.698831,-2.760145,348728,311511
SY3 7HU,52.697009,-2.763812,348478,311311
SY3 7HW,52.698509,-2.758482,348840,311474
SY3 7JD,52.702999,-2.752107,349276,311969
SY3 7JE,52.702363,-2.753147,349205,311899
SY3 7JF,52.702564,-2.751285,349331,311920
SY3 7JG,52.701975,-2.750595,349377,311854
SY3 7JH,52.701139,-2.749189,349471,311760
SY3 7JL,52.701316,-2.751072,349344,311781
SY3 7JN,52.701674,-2.752676,349236,311822
SY3 7JR,52.699052,-2.750752,349363,311529
SY3 7JT,52.700629,-2.754434,349116,311707
SY3 7JU,52.699904,-2.754007,349144,311626
SY3 7JW,52.699969,-2.749376,349457,311630
SY3 7JY,52.698768,-2.75307,349206,311499
SY3 7JZ,52.69806,-2.751267,349327,311419
SY3 7LA,52.699126,-2.754778,349091,311540
SY3 7LB,52.701484,-2.755751,349028,311803
SY3 7LE,52.702775,-2.753479,349183,311945
SY3 7LF,52.700762,-2.751891,349288,311720
SY3 7LG,52.70167,-2.747644,349576,311818
SY3 7LL,52.7032,-2.745983,349690,311987
SY3 7LN,52.702815,-2.74574,349706,311944
SY3 7LU,52.700761,-2.747851,349561,311717
SY3 7LW,52.702376,-2.745436,349726,311895
SY3 7LY,52.700564,-2.747655,349574,311695
SY3 7NA,52.700018,-2.745796,349699,311633
SY3 7NB,52.699251,-2.746271,349666,311548
SY3 7ND,52.699084,-2.747215,349602,311530
SY3 7NE,52.698988,-2.748102,349542,311520
SY3 7NF,52.697928,-2.746515,349648,311401
SY3 7NG,52.697559,-2.746568,349644,311360
SY3 7NJ,52.699543,-2.748511,349515,311582
SY3 7NN,52.697943,-2.749845,349423,311405
SY3 7NQ,52.697083,-2.746634,349639,311307
SY3 7NR,52.701984,-2.744838,349766,311851
SY3 7NT,52.698436,-2.75012,349405,311460
SY3 7NU,52.702139,-2.748895,349492,311871
SY3 7NY,52.70276,-2.744377,349798,311937
SY3 7NZ,52.701396,-2.744029,349820,311785
SY3 7PB,52.701235,-2.743834,349833,311767
SY3 7PD,52.701475,-2.74585,349697,311795
SY3 7PE,52.701577,-2.745319,349733,311806
SY3 7PF,52.701125,-2.745741,349704,311756
SY3 7PG,52.701578,-2.746533,349651,311807
SY3 7PL,52.700857,-2.741045,350021,311723
SY3 7PN,52.700665,-2.741604,349983,311702
SY3 7PP,52.699971,-2.740468,350059,311624
SY3 7PQ,52.700575,-2.744429,349792,311694
SY3 7PR,52.701266,-2.740371,350067,311768
SY3 7PS,52.701563,-2.740258,350075,311801
SY3 7PT,52.701254,-2.740874,350033,311767
SY3 7PU,52.701704,-2.740719,350044,311817
SY3 7PW,52.699706,-2.74107,350018,311595
SY3 7PX,52.701584,-2.74125,350008,311804
SY3 7PY,52.701818,-2.739877,350101,311829
SY3 7PZ,52.700439,-2.737427,350265,311674
SY3 7QA,52.70031,-2.738017,350225,311660
SY3 7QB,52.699397,-2.738741,350175,311559
SY3 7QD,52.699556,-2.739188,350145,311577
SY3 7QE,52.698076,-2.73863,350181,311412
SY3 7QF,52.698917,-2.737919,350230,311505
SY3 7QJ,52.694915,-2.742468,349918,311063
SY3 7QL,52.696953,-2.75005,349408,311295
SY3 7QN,52.696534,-2.749539,349442,311248
SY3 7QQ,52.698895,-2.74147,349990,311505
SY3 7QR,52.696905,-2.749131,349470,311289
SY3 7QS,52.697249,-2.748812,349492,311327
SY3 7QW,52.696016,-2.748909,349484,311190
SY3 7QX,52.695165,-2.752771,349222,311098
SY3 7QY,52.694037,-2.754838,349081,310974
SY3 7QZ,52.692829,-2.755409,349041,310840
SY3 7RA,52.694033,-2.75543,349041,310974
SY3 7RD,52.695449,-2.753279,349188,311130
SY3 7RF,52.697069,-2.751605,349303,311309
SY3 7RG,52.69653,-2.754467,349109,311251
SY3 7RH,52.698017,-2.752465,349246,311415
SY3 7RL,52.698229,-2.754348,349119,311440
SY3 7RN,52.697489,-2.754898,349081,311358
SY3 7RP,52.697347,-2.757352,348915,311344
SY3 7RQ,52.696849,-2.753673,349163,311286
SY3 7RT,52.699429,-2.743714,349839,311566
SY3 7RU,52.702364,-2.744504,349789,311893
SY3 7RW,52.69711,-2.755128,349065,311316
SY3 7RX,52.702069,-2.744247,349806,311860
SY3 7TA,52.694515,-2.741722,349968,311018
SY3 7TB,52.693912,-2.74183,349960,310951
SY3 7TD,52.693613,-2.742254,349931,310918
SY3 7TE,52.692792,-2.738334,350195,310824
SY3 7TG,52.694102,-2.740146,350074,310971
SY3 7TH,52.696095,-2.739248,350137,311192
SY3 7TJ,52.695042,-2.739393,350126,311075
SY3 7TN,52.694829,-2.74041,350057,311052
SY3 7TP,52.696936,-2.742695,349905,311288
SY3 7TR,52.697544,-2.743312,349864,311356
SY3 7TW,52.696626,-2.741935,349956,311253
SY3 7TZ,52.697827,-2.739647,350112,311385
SY3 8AG,52.706933,-2.780696,347349,312427
SY3 8AH,52.70673,-2.780071,347391,312404
SY3 8AL,52.70615,-2.782073,347255,312341
SY3 8AN,52.70696,-2.782043,347258,312431
SY3 8AQ,52.7059,-2.779049,347459,312311
SY3 8AR,52.705709,-2.784848,347067,312294
SY3 8AT,52.704897,-2.78399,347124,312203
SY3 8AU,52.704798,-2.781309,347305,312190
SY3 8AW,52.706518,-2.784892,347065,312384
SY3 8AY,52.700753,-2.785247,347034,311743
SY3 8BE,52.714004,-2.772991,347878,313208
SY3 8BG,52.711316,-2.761813,348630,312901
SY3 8BH,52.715211,-2.790333,346708,313355
SY3 8BQ,52.714028,-2.785782,347014,313220
SY3 8BS,52.716374,-2.791316,346643,313485
SY3 8BT,52.722229,-2.809545,345419,314150
SY3 8BU,52.71443,-2.788942,346801,313267
SY3 8BW,52.720982,-2.803895,345799,314007
SY3 8BX,52.715576,-2.789555,346761,313395
SY3 8DA,52.716851,-2.789829,346744,313537
SY3 8DB,52.70656,-2.802861,345851,312402
SY3 8DU,52.706645,-2.792813,346530,312404
SY3 8DW,52.722961,-2.807619,345550,314230
SY3 8DY,52.729391,-2.807293,345580,314945
SY3 8DZ,52.728715,-2.807547,345562,314870
SY3 8EF,52.724088,-2.809801,345404,314357
SY3 8EG,52.726915,-2.815688,345010,314676
SY3 8EH,52.727577,-2.818854,344797,314752
SY3 8EJ,52.714541,-2.777575,347569,313271
SY3 8EL,52.728107,-2.817531,344887,314810
SY3 8EN,52.727324,-2.817739,344872,314723
SY3 8EP,52.72904,-2.816497,344958,314913
SY3 8ER,52.728043,-2.816345,344967,314802
SY3 8ES,52.728353,-2.81453,345090,314835
SY3 8EU,52.731825,-2.821984,344591,315227
SY3 8EW,52.728398,-2.81573,345009,314841
SY3 8EX,52.721387,-2.815644,345006,314061
SY3 8EY,52.719953,-2.814906,345054,313901
SY3 8EZ,52.719198,-2.816328,344957,313818
SY3 8FA,52.712171,-2.774276,347789,313005
SY3 8FB,52.711669,-2.773942,347811,312949
SY3 8FD,52.711645,-2.77218,347930,312945
SY3 8FF,52.710732,-2.773022,347872,312844
SY3 8FH,52.711493,-2.770593,348037,312927
SY3 8FJ,52.711345,-2.771287,347990,312911
SY3 8FL,52.710712,-2.771853,347951,312841
SY3 8FN,52.712292,-2.77077,348026,313016
SY3 8GB,52.705972,-2.792726,346535,312329
SY3 8GD,52.705414,-2.791369,346626,312266
SY3 8GE,52.7061,-2.791056,346648,312342
SY3 8GF,52.705768,-2.790961,346654,312305
SY3 8GG,52.706406,-2.790973,346654,312376
SY3 8HT,52.70717,-2.774647,347758,312449
SY3 8HU,52.706818,-2.773486,347836,312409
SY3 8HX,52.70776,-2.772378,347912,312513
SY3 8HY,52.708635,-2.770587,348034,312609
SY3 8HZ,52.708901,-2.768313,348188,312637
SY3 8JB,52.709852,-2.767264,348260,312742
SY3 8JD,52.708938,-2.766818,348289,312640
SY3 8JG,52.709951,-2.764453,348450,312751
SY3 8JN,52.71117,-2.76073,348703,312884
SY3 8JQ,52.709899,-2.76272,348567,312744
SY3 8JR,52.711839,-2.761585,348646,312959
SY3 8JU,52.711017,-2.759365,348795,312866
SY3 8LL,52.709862,-2.765636,348370,312742
SY3 8LP,52.709197,-2.778043,347531,312677
SY3 8LR,52.707972,-2.777029,347598,312540
SY3 8LS,52.7085,-2.776017,347667,312598
SY3 8LT,52.710142,-2.775143,347728,312780
